dz_2021_code,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20003578,30,15,43,53,26,8,8,76,6
N20003579,40,37,15,27,12,0,5,27,5
N20003580,42,22,28,40,16,11,7,45,2
N20003581,22,15,38,77,25,7,8,50,5
N20003582,50,44,20,31,7,8,11,26,3
N20003583,34,18,16,33,20,6,5,24,6
N20003584,47,11,34,44,16,5,4,60,5
N20003585,42,16,25,37,18,3,5,53,3
N20003586,83,89,41,47,16,9,17,35,5
N20003587,40,23,32,22,14,9,12,33,7
N20003588,44,29,24,27,16,6,10,33,5
N20003589,56,22,43,37,15,5,5,47,3
N20003590,9,46,26,35,5,7,7,4,2
N20003591,13,4,16,21,15,0,6,24,2
N20003592,22,88,36,27,6,22,12,9,7
N20003593,42,35,26,16,7,8,4,21,5
N20003594,32,29,42,48,18,10,15,27,4
N20003595,49,46,49,51,7,2,6,40,2
N20003596,30,63,33,33,12,16,11,11,8
N20003597,10,38,29,35,2,10,5,2,8
N20003598,29,15,21,30,12,11,6,25,2
N20003599,32,105,43,27,4,29,15,16,16
N20003600,20,19,32,41,11,9,8,25,2
N20003601,14,25,28,26,17,8,4,11,3
N20003602,15,57,24,33,10,12,7,14,5
N20003603,20,46,33,37,17,23,12,17,5
N20003604,28,12,29,24,9,6,5,32,1
N20003605,45,64,50,64,26,21,14,30,9
N20003606,27,40,19,11,12,6,9,17,1
N20003607,13,30,21,34,6,33,18,8,4
N20003608,22,80,13,6,2,15,4,10,6
N20003609,14,45,10,25,5,74,17,8,6
N20003610,10,43,17,15,2,26,5,3,3
N20003611,15,28,22,31,22,13,12,11,5
N20003612,21,45,25,31,2,26,9,6,4
N20003613,25,22,27,36,7,17,9,17,7
N20003614,29,23,25,41,22,13,6,32,3
N20003615,53,30,51,48,19,13,15,70,1
N20003616,41,80,28,34,15,36,29,16,8
N20003617,21,50,16,21,10,40,23,11,1
N20003618,11,39,15,31,4,36,21,10,9
N20003619,19,64,79,71,15,26,14,18,4
N20003620,20,74,57,67,23,25,11,26,8
N20003621,31,26,21,36,13,5,7,35,2
N20003622,25,14,35,48,30,3,3,35,2
N20003623,28,33,52,48,26,8,9,22,7
N20003624,40,107,60,39,7,15,16,22,11
N20003625,46,22,34,50,17,5,6,34,5
N20003626,38,14,32,45,11,5,4,40,8
N20003627,40,28,34,40,9,5,5,40,5
N20003628,44,57,47,37,13,9,11,29,5
N20003629,53,21,43,44,17,10,7,23,5
N20003630,26,22,38,49,19,6,5,32,4
N20003631,12,71,20,23,9,14,14,6,14
N20003632,15,123,47,21,10,18,7,14,25
N20003633,98,29,6,2,0,0,2,17,1
N20003634,34,45,33,31,9,11,12,25,6
N20003635,31,49,36,34,10,12,15,21,7
N20003636,20,43,27,15,3,10,8,9,8
N20003637,27,38,27,49,9,10,9,32,8
N20003638,17,21,26,51,17,15,8,23,3
N20003639,40,18,37,29,13,11,5,44,5
N20003640,33,77,19,5,4,4,5,8,14
N20003641,14,53,25,24,7,7,5,8,5
N20003642,26,76,35,12,3,11,16,8,11
N20003643,54,9,15,17,4,5,3,19,2
N20003644,89,76,36,18,6,6,13,43,11
N20003645,23,35,57,52,29,12,14,35,4
N20003646,45,17,27,29,16,4,7,65,5
N20003647,37,10,28,63,21,6,7,62,1
N20003648,79,21,18,17,13,6,16,37,2
N20003649,34,32,40,55,18,10,8,20,13
N20003650,60,36,59,56,35,16,18,70,10
N20003651,23,47,22,29,8,39,18,10,7
N20003652,15,26,42,64,14,14,7,39,6
N20003653,46,68,22,13,15,29,19,11,2
N20003654,45,111,20,9,5,39,13,17,4
N20003655,18,46,36,51,15,24,7,17,4
N20003656,23,47,19,31,8,34,14,14,4
N20003657,28,45,12,27,7,15,14,11,2
N20003658,26,9,29,22,20,0,11,44,3
N20003659,19,49,14,38,9,47,17,10,6
N20003660,20,43,18,25,4,37,14,6,5
N20003661,33,43,33,32,6,19,15,15,4
N20003662,30,60,14,17,10,27,7,16,4
N20003663,9,55,22,21,5,50,18,9,8
N20003664,29,52,41,49,15,21,14,7,4
N20003665,14,41,8,10,8,18,9,13,2
N20003666,33,61,15,29,7,47,15,7,4
N20003667,8,44,32,67,19,19,13,6,6
N20003668,20,58,26,35,14,37,12,4,10
N20003669,16,25,41,65,24,14,14,23,8
N20003670,14,93,44,27,2,12,2,2,5
N20003671,6,67,31,37,1,26,6,4,3
N20003672,11,9,25,42,12,6,2,12,2
N20003673,9,48,52,99,16,27,7,6,6
N20003674,7,6,16,53,16,2,2,6,3
N20003675,3,50,41,63,4,14,4,4,2
N20003676,5,55,35,79,6,24,4,10,5
N20003677,14,44,16,29,10,42,16,7,4
N20003678,5,24,44,62,5,27,5,10,8
N20003679,39,16,35,2,2,0,0,46,1
N20003680,68,35,37,23,10,2,12,58,9
N20003681,22,17,27,29,13,10,4,34,2
N20003682,54,48,27,24,6,10,8,23,5
N20003683,32,17,29,22,11,6,3,27,0
N20003684,42,5,29,42,18,1,8,72,3
N20003685,24,18,36,39,15,8,5,45,7
N20003686,22,23,29,34,6,7,7,20,3
N20003687,29,17,30,28,16,6,5,36,6
N20003688,16,13,30,33,11,2,1,42,4
N20003689,18,28,14,47,13,9,9,11,5
N20003690,26,12,21,29,12,5,6,26,6
N20003691,40,13,27,47,13,5,7,31,2
N20003692,58,6,8,11,3,1,1,22,1
N20003693,32,5,25,25,25,1,6,60,6
N20003694,22,18,28,45,11,11,9,35,6
N20003695,35,14,41,45,26,7,5,40,5
N20003696,33,16,29,39,29,3,10,74,6
N20003697,20,9,35,53,31,4,6,48,3
N20003698,45,26,51,45,25,14,13,38,10
N20003699,25,36,27,46,18,13,11,19,3
N20003700,19,36,77,56,14,12,9,34,8
N20003701,18,9,49,48,28,10,2,33,5
N20003702,14,4,27,20,17,7,4,42,2
N20003703,15,23,26,37,10,20,11,9,5
N20003704,36,21,52,41,16,4,5,50,2
N20003705,18,19,34,42,19,7,15,15,4
N20003706,16,4,28,36,24,2,6,38,4
N20003707,38,66,34,19,9,17,9,19,3
N20003708,16,28,43,66,43,17,10,19,7
N20003709,28,30,41,56,26,18,19,15,6
N20003710,20,20,13,18,13,4,3,13,2
N20003711,45,53,13,8,6,4,4,14,0
N20003712,33,44,42,49,20,21,11,39,9
N20003713,19,50,25,14,4,14,4,15,4
N20003714,6,10,44,86,34,19,8,12,5
N20003715,61,49,18,6,7,13,8,14,3
N20003716,14,20,48,60,27,14,12,17,4
N20003717,2,8,18,75,15,3,3,5,5
N20003718,63,65,27,17,9,13,13,19,11
N20003719,13,9,67,73,45,10,8,23,9
N20003720,22,64,11,29,8,48,8,9,7
N20003721,17,25,33,37,19,9,8,18,6
N20003722,44,25,44,30,12,10,8,34,1
N20003723,22,55,12,25,14,15,14,8,4
N20003724,35,11,23,18,17,2,9,30,2
N20003725,41,31,45,49,24,18,8,31,6
N20003726,13,13,34,23,10,4,4,28,7
N20003727,31,28,29,24,15,6,10,17,4
N20003728,15,17,48,61,33,5,6,30,4
N20003729,9,16,33,89,18,16,6,15,4
N20003730,18,10,26,31,18,3,4,20,12
N20003731,15,7,29,33,19,2,7,21,5
N20003732,62,59,34,23,12,23,10,30,3
N20003733,28,29,41,50,14,10,6,30,4
N20003734,13,26,31,96,21,17,12,13,9
N20003735,37,53,22,32,17,38,15,26,5
N20003736,12,18,31,27,10,11,6,20,1
N20003737,18,21,27,30,18,7,6,16,5
N20003738,43,40,58,49,30,3,15,36,6
N20003739,34,50,85,80,27,15,12,34,2
N20003740,11,19,40,34,37,4,6,33,5
N20003741,23,25,22,37,15,22,10,18,5
N20003742,15,27,22,40,8,13,7,14,2
N20003743,39,31,64,58,34,2,12,47,7
N20003744,26,19,25,25,22,2,3,36,9
N20003745,15,25,32,35,23,8,9,18,7
N20003746,34,24,42,33,21,3,6,23,13
N20003747,13,12,42,41,17,5,11,24,11
N20003748,27,15,28,23,16,4,5,45,6
N20003749,32,34,27,36,5,11,7,13,3
N20003750,51,37,29,33,16,9,16,26,1
N20003751,38,49,22,19,12,17,14,17,5
N20003752,32,23,30,18,20,9,6,33,5
N20003753,8,28,27,46,10,28,9,7,3
N20003754,37,50,27,28,17,31,16,23,1
N20003755,16,20,34,36,20,5,12,28,11
N20003756,29,42,30,30,22,27,16,25,11
N20003757,36,46,58,64,14,14,2,44,6
N20003758,37,87,45,56,19,33,11,31,11
N20003759,35,57,26,22,15,14,18,20,1
N20003760,20,24,27,44,19,14,8,15,3
N20003761,18,21,43,56,27,7,18,27,15
N20003762,23,18,28,34,11,13,4,21,1
N20003763,27,19,43,53,14,6,7,21,8
N20003764,14,14,34,25,25,3,7,25,4
N20003765,22,33,16,25,15,10,11,15,8
N20003766,15,30,36,81,13,25,10,18,10
N20003767,24,17,28,30,18,3,8,13,9
N20003768,34,28,36,26,20,9,6,36,4
N20003769,18,19,35,52,16,15,4,17,1
N20003770,24,38,42,25,9,5,8,22,4
N20003771,13,38,48,65,38,8,8,31,16
N20003772,32,35,26,49,13,14,13,28,3
N20003773,25,21,41,74,24,13,12,35,9
N20003774,18,22,29,41,12,4,5,27,7
N20003775,33,56,24,43,20,26,10,26,4
N20003776,14,20,23,46,26,9,10,13,2
N20003777,29,45,19,27,24,24,14,15,2
N20003778,27,39,15,31,24,11,7,27,4
N20003779,41,68,34,17,14,6,22,18,11
N20003780,22,26,32,28,23,3,11,21,7
