dz_2021_code,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
N20000775,16,39,61,10,315
N20000776,14,40,52,5,425
N20000777,7,25,46,1,143
N20000778,7,24,36,7,180
N20000779,5,26,64,5,245
N20000780,1,4,14,4,139
N20000781,14,42,61,4,298
N20000782,12,42,58,5,284
N20000783,27,51,105,9,389
N20000784,12,33,46,1,291
N20000785,17,37,52,4,360
N20000786,5,14,60,11,187
N20000787,23,65,146,19,264
N20000788,20,74,197,13,431
N20000789,25,37,162,17,207
N20000790,20,45,56,11,341
N20000791,30,48,142,17,267
N20000792,11,51,126,7,243
N20000793,28,48,163,11,275
N20000794,23,53,117,7,370
N20000795,40,72,158,12,368
N20000796,34,47,203,50,381
N20000797,11,46,133,24,318
N20000798,24,56,117,12,289
N20000799,30,53,148,32,299
N20000800,30,74,146,10,334
N20000801,23,51,138,8,281
N20000802,23,41,168,19,275
N20000803,34,43,150,30,288
N20000804,19,39,105,15,166
N20000805,27,56,200,16,272
N20000806,23,52,169,10,224
N20000807,33,43,181,21,326
N20000808,32,44,148,31,267
N20000809,25,37,179,20,298
N20000810,21,43,155,23,186
N20000811,24,72,194,13,342
N20000812,15,33,87,16,167
N20000813,10,18,56,5,158
N20000814,9,33,104,6,183
N20000815,17,32,111,14,198
N20000816,29,54,177,18,333
N20000817,36,43,166,27,477
N20000818,20,43,114,17,249
N20000819,14,34,115,8,185
N20000820,11,54,93,11,273
N20000821,7,24,130,14,145
N20000822,9,22,60,16,137
N20000823,29,51,160,25,237
N20000824,36,46,146,20,388
N20000825,15,18,132,22,133
N20000826,15,18,88,8,180
N20000827,28,53,166,23,246
N20000828,22,46,92,8,172
N20000829,9,29,106,8,175
N20000830,19,35,83,13,226
N20000831,27,41,132,6,317
N20000832,13,19,46,7,226
N20000833,24,50,149,20,278
N20000834,7,26,57,8,243
N20000835,22,75,190,19,413
N20000836,15,30,86,9,356
N20000837,18,55,180,15,306
N20000838,16,45,153,14,236
N20000839,10,39,100,8,202
N20000840,14,43,96,9,220
N20000841,36,93,234,16,513
N20000842,11,30,114,9,156
N20000843,15,27,92,16,194
N20000844,25,56,105,7,326
N20000845,18,36,86,8,196
N20000846,16,34,87,12,263
N20000847,10,24,54,5,220
N20000848,17,53,72,7,328
N20000849,27,52,141,20,335
N20000850,6,24,52,4,196
N20000851,10,35,56,3,363
N20000852,17,36,75,3,309
N20000853,15,45,79,7,387
N20000854,16,16,159,29,106
N20000855,191,86,264,30,926
N20000856,19,39,82,13,290
N20000857,19,27,314,52,156
N20000858,19,44,96,18,255
N20000859,17,35,168,21,133
N20000860,20,51,142,10,265
N20000861,17,53,135,17,190
N20000862,19,60,169,12,211
N20000863,12,31,66,19,191
N20000864,5,30,56,6,95
N20000865,20,37,126,7,205
N20000866,12,42,160,13,172
N20000867,20,36,114,7,216
N20000868,19,36,114,4,202
N20000869,19,42,120,11,196
N20000870,19,24,56,6,301
N20000871,22,37,127,9,207
N20000872,19,50,180,24,189
N20000873,14,33,81,5,194
N20000874,11,26,23,5,246
N20000875,15,56,151,12,224
N20000876,11,29,96,12,108
N20000877,24,44,82,7,370
N20000878,14,37,136,15,149
N20000879,9,29,108,6,112
N20000880,13,39,68,9,292
N20000881,17,33,149,28,240
N20000882,18,28,239,23,192
N20000883,21,40,119,17,176
N20000884,12,17,59,4,211
N20000885,15,33,125,13,202
N20000886,21,53,65,3,312
N20000887,29,68,120,16,403
N20000888,26,56,197,26,220
N20000889,6,27,112,9,128
N20000890,22,46,163,31,216
N20000891,15,45,127,9,176
N20000892,18,44,107,10,345
N20000893,20,48,110,16,326
N20000894,19,68,100,12,349
N20000895,12,20,97,9,95
N20000896,23,80,111,10,506
N20000897,14,34,129,33,200
N20000898,13,30,108,11,111
N20000899,16,45,140,20,223
N20000900,13,46,86,5,207
